STATE,ZIP CODE,CARRIER,LOCALITY,RURAL IND,LAB CB LOCALITY,RURAL IND2,PLUS 4 FLAG,PART B DRUG INDICATOR,YEAR/QTR
AL,35293,10102,00,,Z9,,0,A,20174
AL,35294,10102,00,,Z9,,0,A,20174
AL,35295,10102,00,,Z9,,0,A,20174
AL,35296,10102,00,,Z9,,0,A,20174
AL,35297,10102,00,,Z9,,0,A,20174
AL,35298,10102,00,,Z9,,0,A,20174
AL,35299,10102,00,,Z9,,0,A,20174
AL,35401,10102,00,,Z9,,0,A,20174
AL,35402,10102,00,,Z9,,0,A,20174
AL,35403,10102,00,,Z9,,0,A,20174
AL,35404,10102,00,,Z9,,0,A,20174
AL,35405,10102,00,,Z9,,0,A,20174
AL,35406,10102,00,,Z9,,0,A,20174
AL,35407,10102,00,,Z9,,0,A,20174
AL,35440,10102,00,,Z9,,0,A,20174
AL,35441,10102,00,B,Z9,B,0,A,20174
AL,35442,10102,00,B,Z9,B,0,A,20174
AL,35443,10102,00,B,Z9,B,0,A,20174
AL,35444,10102,00,,Z9,,0,A,20174
AL,35446,10102,00,,Z9,,0,A,20174
AL,35447,10102,00,B,Z9,B,0,A,20174
AL,35448,10102,00,B,Z9,B,0,A,20174
AL,35449,10102,00,,Z9,,0,A,20174
AL,35452,10102,00,,Z9,,0,A,20174
AL,35453,10102,00,,Z9,,0,A,20174
AL,35456,10102,00,,Z9,,0,A,20174
AL,35457,10102,00,,Z9,,0,A,20174
AL,35458,10102,00,,Z9,,0,A,20174
AL,35459,10102,00,B,Z9,B,0,A,20174
AL,35460,10102,00,B,Z9,B,0,A,20174
AL,35461,10102,00,B,Z9,B,0,A,20174
AL,35462,10102,00,B,Z9,B,0,A,20174
AL,35463,10102,00,,Z9,,0,A,20174
AL,35464,10102,00,B,Z9,B,0,A,20174
AL,35466,10102,00,B,Z9,B,0,A,20174
AL,35468,10102,00,,Z9,,0,A,20174
AL,35469,10102,00,B,Z9,B,0,A,20174
AL,35470,10102,00,B,Z9,B,0,A,20174
AL,35471,10102,00,B,Z9,B,0,A,20174
AL,35473,10102,00,,Z9,,0,A,20174
AL,35474,10102,00,B,Z9,B,0,A,20174
AL,35475,10102,00,,Z9,,0,A,20174
AL,35476,10102,00,,Z9,,0,A,20174
AL,35477,10102,00,B,Z9,B,0,A,20174
AL,35478,10102,00,,Z9,,0,A,20174
AL,35480,10102,00,,Z9,,0,A,20174
AL,35481,10102,00,B,Z9,B,0,A,20174
AL,35482,10102,00,,Z9,,0,A,20174
AL,35485,10102,00,,Z9,,0,A,20174
AL,35486,10102,00,,Z9,,0,A,20174
AL,35487,10102,00,,Z9,,0,A,20174
AL,35490,10102,00,,Z9,,0,A,20174
AL,35491,10102,00,B,Z9,B,0,A,20174
AL,35501,10102,00,,Z9,,0,A,20174
AL,35502,10102,00,,Z9,,0,A,20174
AL,35503,10102,00,R,Z9,R,0,A,20174
AL,35504,10102,00,,Z9,,0,A,20174
AL,35540,10102,00,R,Z9,R,0,A,20174
AL,35541,10102,00,R,Z9,R,0,A,20174
AL,35542,10102,00,R,Z9,R,0,A,20174
AL,35543,10102,00,R,Z9,R,0,A,20174
AL,35544,10102,00,B,Z9,B,0,A,20174
AL,35545,10102,00,R,Z9,R,0,A,20174
AL,35546,10102,00,R,Z9,R,0,A,20174
AL,35548,10102,00,R,Z9,R,0,A,20174
AL,35549,10102,00,R,Z9,R,0,A,20174
AL,35550,10102,00,,Z9,,0,A,20174
AL,35551,10102,00,R,Z9,R,0,A,20174
AL,35552,10102,00,B,Z9,B,0,A,20174
AL,35553,10102,00,R,Z9,R,0,A,20174
AL,35554,10102,00,,Z9,,0,A,20174
AL,35555,10102,00,R,Z9,R,0,A,20174
AL,35559,10102,00,R,Z9,R,0,A,20174
AL,35560,10102,00,,Z9,,0,A,20174
AL,35563,10102,00,R,Z9,R,0,A,20174
AL,35564,10102,00,R,Z9,R,0,A,20174
AL,35565,10102,00,R,Z9,R,0,A,20174
AL,35570,10102,00,R,Z9,R,0,A,20174
AL,35571,10102,00,R,Z9,R,0,A,20174
AL,35572,10102,00,R,Z9,R,0,A,20174
